Provinsi,Tahun,IPM,Provinsi_geojson
KALIMANTAN UTARA,2024,73.02,KALIMANTANUTARA
SULAWESI UTARA,2024,75.03,SULAWESIUTARA
SULAWESI TENGAH,2024,71.56,SULAWESITENGAH
SULAWESI SELATAN,2024,74.05,SULAWESISELATAN
SULAWESI TENGGARA,2024,73.48,SULAWESITENGGARA
GORONTALO,2024,71.23,GORONTALO
SULAWESI BARAT,2024,68.2,SULAWESIBARAT
MALUKU,2024,71.57,MALUKU
MALUKU UTARA,2024,71.03,MALUKUUTARA
PAPUA BARAT,2024,67.02,PAPUABARAT
PAPUA BARAT DAYA,2024,68.63,PAPUABARATDAYA
PAPUA,2024,73.0,PAPUA
PAPUA SELATAN,2024,67.9,PAPUASELATAN
PAPUA TENGAH,2024,59.75,PAPUATENGAH
PAPUA PEGUNUNGAN,2024,53.42,PAPUAPEGUNUNGAN

